"Name","Priority","NotificationText","IsRegularEventRefresh","DontCompare","AutoAdd","TimeOffsetMins","MaxRandomTimeOffsetMins","CheckRangeMins"
"String","int","String","boolean","boolean","boolean","int","int","int"
"CCStart",10000,"TID_NOTIFICATION_CC_STARTED",,,,15,60,0
"CCReminder",10000,"TID_NOTIFICATION_CC_ENDING",,,,-600,60,0
"PSGStart",10000,"TID_NOTIFICATION_PSG_STARTED",,,,15,60,0
"PSGReminder",10000,"TID_NOTIFICATION_PSG_ENDING",,,,-600,60,0
"CoinRushStart",2,"TID_NOTIFICATION_COIN_RUSH","TRUE",,,30,30,0
"AttackDefendStart",5,"TID_NOTIFICATION_ATTACK_DEFEND","TRUE",,,15,30,0
"BountyStart",5,"TID_NOTIFICATION_BOUNTY_HUNTER","TRUE",,,15,30,0
"LaserBallStart",2,"TID_NOTIFICATION_LASER_BALL","TRUE",,,15,30,0
"BRStart",2,"TID_NOTIFICATION_BATTLE_ROYAL","TRUE",,,15,30,0
"BossStart",1000,"TID_NOTIFICATION_BOSS",,,,60,60,0
"CoopStart",1000,"TID_NOTIFICATION_COOP",,,,60,60,0
"RaidBossStart",1000,"TID_NOTIFICATION_RAID_BOSS",,,,60,60,0
"RoboWarsStart",1000,"TID_NOTIFICATION_ROBO_WARS",,,,15,30,0
"TakedownStart",3,"TID_NOTIFICATION_BOSS_RACE","TRUE",,,15,30,0
"LoneStarStart",3,"TID_NOTIFICATION_LONE_STAR","TRUE",,,15,30,0
"CTFStart",3,"TID_NOTIFICATION_CTF","TRUE",,,15,30,0
"KOHStart",5,"TID_NOTIFICATION_KING_OF_HILL","TRUE",,,15,30,0
"MultipleModesStart",10,"TID_NOTIFICATION_MULTIPLE_MODES",,,,15,30,0
"FreeBox",1,"TID_FREE_BOX_AVAILABLE_0",,,,60,30,120
,,"TID_FREE_BOX_AVAILABLE_1",,,,,,
,,"TID_FREE_BOX_AVAILABLE_2",,,,,,
,,"TID_FREE_BOX_AVAILABLE_3",,,,,,
,,"TID_FREE_BOX_AVAILABLE_4",,,,,,
"SeasonEnd",2000,"TID_SEASON_ENDED_NOTI",,,,30,60,
"KeyBarFull",100000,"TID_KEY_BAR_FULL",,"TRUE",,,,
"ComeBackSmall",1,"TID_COME_BACK_NOTIFICATION_SMALL",,,"TRUE",2880,,1440
"ComeBackMedium",1,"TID_COME_BACK_NOTIFICATION_MEDIUM",,,"TRUE",7200,,1440
"ComeBackLarge",1,"TID_COME_BACK_NOTIFICATION_LARGE",,,"TRUE",14400,,1440
"PPRefresh",500,"TID_POWER_PLAY_NOTIFICATION",,,,15,30,0
"NewBrawler",50000,"TID_NOTIFICATION_NEW_BRAWLER",,,,,30,0
"DoubleTokens",1500,"TID_NOTIFICATION_DOUBLE_TOKENS_STARTED",,,,,30,0
"DoubleCoins",1500,"TID_NOTIFICATION_DOUBLE_COINS_STARTED",,,,,30,0
"BPSeasonStart",50000,"TID_NOTIFICATION_BP_SEASON_STARTED",,,,,30,
"BPSeasonReminder",50000,"TID_NOTIFICATION_BP_SEASON_ENDING",,,,-7200,30,
"QuestBatch",750,"TID_NOTIFICATION_QUEST_REFRESH",,,,,30,60
"TownCrusherStart",1000,"TID_NOTIFICATION_TOWN_CRUSHER",,,,60,60,0
